state,age,grade,hours,num612,num1317,youngest,othrlt18,othrge18,bmodk5,white,centcity,public,quarter,numge18
1,22.75,8,0,0,0,0,0,0,1,0,0,0,2,0
1,25.5,12,38,0,0,2,0,0,1,1,0,1,1,0
1,26.75,12,0,3,0,4,0,0,1,0,0,0,3,0
1,36.75,12,0,1,1,5,0,0,1,1,0,0,2,0
1,29.75,12,40,1,1,5,0,0,28,1,0,0,2,0
1,31.5,7,0,3,0,0,0,0,1,1,0,1,2,0
1,25,8,0,2,0,5,0,0,1,0,0,0,1,0
1,43.25,10,84,0,0,5,0,0,1,1,0,0,3,0
1,32,12,25,1,0,5,0,0,1,1,0,0,1,0
1,35,6,30,0,1,5,0,2,1,0,0,0,0,1
1,28.5,12,44,0,0,5,0,0,1,1,0,0,3,0
1,31,8,40,2,2,5,3,1,18,1,0,0,0,0
1,30.75,7,0,0,0,2,0,1,1,0,0,0,3,0
1,23.75,9,40,2,0,2,0,0,1,0,0,1,3,0
1,36,13,40,0,1,5,0,0,1,1,0,0,3,1
1,44.5,10,0,1,2,5,0,0,1,1,0,1,2,1
1,29,12,0,3,0,0,0,0,1,0,0,0,3,0
1,30.75,9,0,2,1,3,0,0,1,0,0,1,1,0
1,26.75,11,16,1,0,1,0,0,1,1,0,1,1,0
1,24.75,12,38,0,0,0,0,0,8,1,0,0,0,0
1,26.5,12,40,0,0,5,0,0,1,1,0,1,2,0
1,31.25,5,0,1,2,5,0,1,1,0,0,1,0,0
1,34,18,40,1,0,5,0,0,1,0,0,0,1,0
1,27,8,0,0,0,5,0,0,12,1,0,1,2,0
1,32.5,12,40,4,0,4,0,1,1,0,0,0,0,0
1,20.75,9,0,0,0,4,0,0,1,0,0,1,1,0
1,28,9,0,2,0,1,0,1,1,0,0,1,2,0
1,34.25,15,40,0,0,5,0,0,24,1,0,0,0,0
1,28.5,12,0,2,0,5,0,0,13,0,0,1,0,0
1,30.5,12,40,2,0,3,0,0,1,1,0,1,3,0
1,30.75,12,0,2,1,5,0,0,1,0,0,1,2,0
1,29.75,12,40,2,0,5,0,0,1,0,0,0,3,0
1,28.75,14,16,0,0,5,0,0,36,0,0,1,1,0
1,33.5,18,44,1,0,5,0,0,48,1,0,1,1,0
1,30,8,0,3,0,2,0,0,1,0,0,1,0,0
1,33.75,15,0,1,0,5,0,0,1,1,0,0,2,0
1,27.75,10,48,1,0,5,0,0,51,1,0,1,1,0
1,26.5,10,40,1,0,4,0,2,1,0,0,0,1,0
1,23.5,10,35,0,0,5,0,0,1,1,0,1,2,0
1,26.5,12,48,1,0,5,1,0,1,1,0,0,0,0
1,25.75,10,30,0,0,5,0,0,1,1,0,0,2,0
1,31.25,12,40,1,1,5,0,0,1,0,0,1,1,0
1,45.75,12,40,1,0,5,0,0,1,1,0,0,0,0
1,26.5,12,0,1,0,5,0,0,1,1,0,1,1,0
1,34.25,6,0,0,0,0,0,0,1,1,0,0,2,0
1,42.5,8,0,0,1,5,3,1,1,1,0,1,1,0
1,31.5,12,0,1,0,5,0,0,1,1,0,0,1,0
1,37,12,0,1,0,5,0,0,12,1,0,0,2,0
1,31.25,11,0,2,0,5,0,0,1,1,0,0,3,0
1,24.5,12,40,0,0,5,0,0,13,1,0,0,3,0
1,24.5,12,0,1,0,5,0,0,1,0,0,0,3,0
1,31.5,12,40,1,0,5,0,0,1,1,0,1,2,0
1,43.5,8,0,2,2,5,0,0,1,1,0,0,3,0
1,29.5,15,40,0,0,5,0,0,6,0,0,0,0,0
1,31,7,40,0,2,5,0,0,1,0,0,1,1,0
1,27.25,12,0,2,0,5,1,1,1,0,0,0,3,0
1,31,16,40,0,0,1,0,0,51,1,0,0,0,0
1,36.5,15,40,1,0,5,0,0,8,1,0,0,0,0
1,23,10,0,0,0,0,0,0,1,0,0,0,0,0
1,34,12,40,0,0,5,0,0,1,1,0,0,2,0
1,21.75,13,13,0,0,2,0,1,1,0,0,1,0,0
1,29.75,12,32,1,0,5,0,0,1,0,0,1,3,0
1,22.5,13,40,0,0,1,0,0,1,0,0,1,3,0
1,40.25,13,30,0,2,5,0,0,1,1,0,1,2,0
1,31,11,0,1,0,3,0,0,1,1,0,0,0,0
1,32.75,9,0,4,0,0,0,1,28,0,0,0,2,0
1,23.25,10,80,1,0,5,0,0,1,0,0,1,1,0
1,26.25,16,40,0,0,5,0,0,1,1,1,0,1,0
